,state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
259,PA  ,gqm,pCAgqm,pCAgqm;14,PApCAgqm;14,14,Eastern Pennsylvania,Graphitic felsic gneiss,Precambrian,"Graphitic felsic gneiss - Medium grained, medium to dark gray; locally gneissic, predominantly feldspar and quartz, plus dark accessories and various alteration minerals.",,Digital map differences from 1980 printed map: name changed from (Quartz monzonite and quartz monzonite gneiss),PA002,felsic gneiss,mafic gneiss,,PA001 PA002,
260,PA  ,hg,pCAhg,pCAhg;14,PApCAhg;14,14,Eastern Pennsylvania,Hornblende gneiss,Precambrian,"Hornblende gneiss - Dark, medium grained; includes some rocks of probable sedimentary origin.",,,PA002,mafic gneiss,paragneiss,,PA001 PA002,
261,PA  ,mb,pCAmb,pCAmb;25,PApCAmb;25,25,South Mountain,Metabasalt,Precambrian,"Metabasalt - Dark-gray, fine-grained intrusives; locally, mineralogy is altered and unit has greenish color.",,,PA002,meta-basalt,,,PA001 PA002,
262,PA  ,mgh,pCAmgh,pCAmgh;14,PApCAmgh;14,14,Eastern Pennsylvania,Mafic gneiss,Precambrian,"Mafic gneiss - Dark, medium grained; includes rocks of probable sedimentary origin; may be equivalent to ""PZmgh"" in places.",,"Digital map differences from 1980 printed map: name changed from (Mafic gneiss, hornblende-bearing).",PA002,mafic gneiss,paragneiss,,PA001 PA002,
263,PA  ,mgp,pCAmgp,pCAmgp;14,PApCAmgp;14,14,Eastern Pennsylvania,Mafic gneiss,Precambrian,"Mafic gneiss - Dark, medium grained; includes rocks of probable sedimentary origin; may be equivalent to ""PZmgp"" in places.",,"Digital map differences from 1980 printed map: name changed from (Mafic gneiss, pyroxene-bearing).",PA002,mafic gneiss,paragneiss,,PA001 PA002,
264,PA  ,vs,pCAvs,pCAvs;25,PApCAvs;25,25,South Mountain,Greenstone schist,Precambrian,"Greenstone schist - Fine to medium grained, light to medium green; includes probable metavolcanic rocks.",,,PA002,schist,metavolcanic rock,,PA001 PA002,
265,PA  ,Pg,Pg,Pg;0,PAPg;0,0,,Greene Formation,Permian,"Greene Formation - Cyclic sequences of sandstone, shale, red beds, thin limestone, and thin, impure coal; base is at top of Upper Washington limestone.",,,PA002,sandstone,shale,limestone; coal,PA001 PA002,
266,PA  ,Pw,Pw,Pw;0,PAPw;0,0,,Washington Formation,Permian,"Washington Formation - Cyclic sequences of sandstone, shale, limestone, and coal; includes some red shale; base is at bottom of Washington coal.",,,PA002,sandstone,shale,limestone; coal,PA001 PA002,
267,PA  ,Xa,PZa,PZa;0,PAPZa;0,0,,Anorthosite,Probably lower Paleozoic,"Anorthosite - Medium to coarse grained, light to dark bluish gray, predominantly plagioclase; local alteration minerals.",,,PA002,anorthosite,,,PA001 PA002,
268,PA  ,Xc,PZc,PZc;0,PAPZc;0,0,,Cockeysville Marble,Probably lower Paleozoic,"Cockeysville Marble - White to light bluish gray, finely to coarsely crystalline.",,,PA002,marble,,,PA001 PA002,
269,PA  ,Xgr,PZgr,PZgr;0,PAPZgr;0,0,,Granitic gneiss and granite,Probably lower Paleozoic,Granitic gneiss and granite - Includes Springfield Granodiorite (granitized Wissahickon) in Philadelphia area.,,,PA002,granitic gneiss,granite,granodiorite,PA001 PA002,
270,PA  ,Xgw,PZgw,PZgw;0,PAPZgw;0,0,,"""Glenarm Wissahickon"" formation",Probably lower Paleozoic,"""Glenarm Wissahickon"" formation - Lithologically similar to oligoclase-mica schist of the Wissahickon Formation (PZw), but also includes lenticular amphibolite bodies having ocean-floor basalt chemistry.",,Digital map differences from 1980 printed map: name and map symbol changed from (Wissahickon Formation - eastern part) (Xw).,PA002,mica schist,mafic gneiss,amphibolite;,PA001 PA002,
271,PA  ,Xm,PZm,PZm;0,PAPZm;0,0,,Marburg Schist,Probably lower Paleozoic,"Marburg Schist - Gray-green phyllite, mica-chlorite schist, and conglomerate.",,Digital map differences from 1980 printed map: no longer included in Wissahickon Formation; map symbol changed from (Xwm).,PA002,phyllite,mica schist,conglomerate,PA001 PA002,
272,PA  ,Xmgh,PZmgh,PZmgh;0,PAPZmgh;0,0,,Mafic gneiss,Probably lower Paleozoic,"Mafic gneiss - Dark, medium grained; includes rocks of probable sedimentary origin; may be equivalent to pCAmgh in places.",,"Digital map differences from 1980 printed map: name changed from (Mafic gneiss, hornblende-bearing).",PA002,mafic gneiss,paragneiss,,PA001 PA002,
273,PA  ,Cal,CAal,CAal;23,PACAal;23,23,"Great Valley and Northern Piedmont, Lehigh Valley Sequence",Allentown Formation,Cambrian,"Allentown Formation - Medium- to medium-dark-gray, thick-bedded dolomite and impure limestone; dark-gray chert stringers and nodules; laminated; oolitic and stromatolitic; some orange-brown-weathering calcareous siltstone at base.",,,PA002,dolostone (dolomite),limestone,chert; siltstone,PA001 PA002,
274,PA  ,Xmgp,PZmgp,PZmgp;0,PAPZmgp;0,0,,Mafic gneiss,Probably lower Paleozoic,"Mafic gneiss - Dark, medium grained; includes rocks of probable sedimentary origin; may be equivalent to pCAmgp in places.",,"Digital map differences from 1980 printed map: name changed from (Mafic gneiss, pyroxene-bearing).",PA002,mafic gneiss,paragneiss,,PA001 PA002,
275,PA  ,Xo,PZo,PZo;0,PAPZo;0,0,,Octoraro Formation,Probably lower Paleozoic,"Octoraro Formation - Includes albite-chlorite schist, phyllite, some hornblende gneiss, and granitized members.",,"Digital map differences from 1980 printed map: name and map symbol changed from (Wissahickon Formation, albite-chlorite schist) (Xwc).",PA002,schist,phyllite,gneiss; granitoid,PA001 PA002,
276,PA  ,Xpb,PZpb,PZpb;0,PAPZpb;0,0,,"Peach Bottom Slate and Cardiff Conglomerate, undivided",Probably lower Paleozoic,"Peach Bottom Slate and Cardiff Conglomerate, undivided - Bluish-black slate (Peach Bottom); quartz conglomerate having a matrix of sericite and chlorite (Cardiff).",,,PA002,slate,conglomerate,,PA001 PA002,
277,PA  ,Xpc,PZpc,PZpc;0,PAPZpc;0,0,,Peters Creek Schist,Probably lower Paleozoic,Peters Creek Schist - Chlorite-sericite schist containing interbedded quartzite.,,,PA002,schist,quartzite,,PA001 PA002,
278,PA  ,Xpg,PZpg,PZpg;0,PAPZpg;0,0,,Pegmatite,Probably lower Paleozoic,"Pegmatite - Coarse to medium grained, granitic; contacts range from sharp to narrowly gradational; some zoning in places.",,,PA002,pegmatite,,,PA001 PA002,
279,PA  ,Xsc,PZsc,PZsc;0,PAPZsc;0,0,,Sams Creek Metabasalt,Probably lower Paleozoic,"Sams Creek Metabasalt - Altered basaltic flows, some amygdaloidal; green, schistose, containing hornblende, epidote, chlorite, and quartz.",,"Digital map differences from 1980 printed map: name and map symbol changed from (Wissahickon Formation, metavolcanics) (Xwv).",PA002,meta-basalt,,,PA001 PA002,
280,PA  ,Xsq,PZsq,PZsq;0,PAPZsq;0,0,,Setters Quartzite,Probably lower Paleozoic,"Setters Quartzite - Includes white feldspathic quartzite, gray mica gneiss, and mica schist.",,,PA002,quartzite,mica gneiss,mica schist,PA001 PA002,
281,PA  ,Xu,PZu,PZu;0,PAPZu;0,0,,Ultramafic rocks,Probably lower Paleozoic,"Ultramafic rocks - Includes serpentine, steatite, and other products of alteration of peridotites and pyroxenites.",,Digital map differences from 1980 printed map: name and map symbol changed from Xs (Serpentinite).,PA002,serpentinite,pyroxenite,peridotite,PA001 PA002,
282,PA  ,Xw,PZw,PZw;0,PAPZw;0,0,,Wissahickon Formation,Probably lower Paleozoic,"Wissahickon Formation - Includes oligoclase-mica schist, some hornblende gneiss, some augen gneiss, and some quartz-rich and feldspar-rich members due to various degrees of granitization.",,,PA002,mica schist,mafic gneiss,augen gneiss; granitoid,PA001 PA002,
283,PA  ,Xwk,PZwk,PZwk;0,PAPZwk;0,0,,Wakefield Marble,Probably lower Paleozoic,"Wakefield Marble - Light gray, coarsely crystalline; contains graphite flakes in places.",,Digital map differences from 1980 printed map: no longer included in Wissahickon Formation; map symbol changed from (Xww).,PA002,marble,,,PA001 PA002,
284,PA  ,Qs,Qs,Qs;0,PAQs;0,0,,Sands of Presque Isle,Quaternary,"Sands of Presque Isle - Fine-grained, unconsolidated sand deposited by lake currents.",,,PA002,sand,,,PA001 PA002,
285,PA  ,Qt,Qt,Qt;0,PAQt;0,0,,Trenton Gravel,Quaternary,"Trenton Gravel - Gray or pale-reddish-brown, very gravelly sand interstratified with crossbedded sand and clay-silt beds; includes areas of Holocene alluvium and swamp deposits.",,,PA002,sand,clay or mud,silt; gravel; alluvium,PA001 PA002,
286,PA  ,Sb,Sb,Sb;19,PASb;19,19,Central and East-Central Pennsylvania,Bloomsburg Formation,Silurian,"Bloomsburg Formation - Grayish-red and greenish-gray shale, siltstone, and very fine to coarse-grained sandstone; some calcareous mudstone in central Pennsylvania; thins to west and is replaced by Mifflintown beds; thickens eastward, replacing overlying Wills Creek and Tonoloway Formations and underlying Mifflintown Formation.",,,PA002,shale,siltstone,sandstone; mudstone,PA001 PA002,
287,PA  ,Sbm,Sbm,Sbm;19,PASbm;19,19,Central and East-Central Pennsylvania,"Bloomsburg and Mifflintown Formations, undivided",Silurian,"Bloomsburg and Mifflintown Formations, undivided - Includes, in descending order, the Bloomsburg Formation (Sb) and the Mifflintown Formation--interbedded dark-gray shale and medium-gray fossiliferous limestone; equivalent to ""McKenzie"" and ""Rochester"" of earlier workers; not present east of Harrisburg.",,,PA002,shale,siltstone,sandstone; limestone; mudstone,PA001 PA002,
288,PA  ,Sc,Sc,Sc;19,PASc;19,19,Central and East-Central Pennsylvania,Clinton Group,Silurian,"Clinton Group - Predominantly Rose Hill Formation--light-olive-gray to brownish-gray, fossiliferous shale; locally, limestone occurs near top; includes dark-reddish-gray, very fine to coarse-grained, ferruginous sandstone; east of Harrisburg, equivalent to Lizard Creek Member of Shawangunk Formation. Above Rose Hill is Keefer Formation--light- to dark-gray, fossiliferous sandstone, hematitic, oolitic sandstone, and shale; not recognized east of Harrisburg.",,,PA002,shale,sandstone,limestone,PA001 PA002,
289,PA  ,Sdp,Sdp,Sdp;14,PASdp;14,14,Eastern Pennsylvania,"Decker Formation through Poxono Island Formation, undivided",Silurian,"Decker Formation through Poxono Island Formation, undivided -In descending order: Decker Formation--gray calcareous sandstone having lenses of calcareous conglomerate, siltstone, and shale, and lenses of limestone and dolomite (in Stroudsburg area, includes calcareous shale, limestone, and dolomite of Rondout Formation at top); Bossardville Limestone--gray argillaceous limestone and dolomitic limestone; Poxono Island Formation--thin-bedded dolomite, limestone, and shale; red shale in lower part. This undivided succession is equivalent to Keyser, Tonoloway, and Wills Creek (part) Formations of central Pennsylvania.",,,PA002,dolostone (dolomite),limestone,siltstone; shale; sandstone; conglomerate,PA001 PA002,
290,PA  ,Ss,Ss,Ss;14,PASs;14,14,Eastern Pennsylvania,Shawangunk Formation,Silurian,"Shawangunk Formation - Light- to dark-gray, fine- to very coarse grained sandstone and conglomerate containing thin shale interbeds. Includes four members, in descending order: Tammany--conglomerate and sandstone; Lizard Creek--sandstone and red or green shale; Minsi--sandstone and conglomerate; Weiders--conglomerate. Tammany and Lizard Creek Members together are approximately equivalent to Clinton Group to the west; Minsi and Weiders Members together are equivalent to Tuscarora Formation to the west.",,,PA002,sandstone,conglomerate,shale,PA001 PA002,
291,PA  ,St,St,St;19,PASt;19,19,Central and East-Central Pennsylvania,Tuscarora Formation,Silurian,"Tuscarora Formation - Light- to medium-gray quartzite and quartzitic sandstone and minor interbedded shale and siltstone, locally conglomeratic in lower part; includes (to the northwest) interbedded red and non-red sandstone (Castanea Member) at top; east of Harrisburg, equivalent to Minsi and Weiders Members of Shawangunk Formation.",,,PA002,quartzite,sandstone,shale; siltstone; conglomerate,PA001 PA002,
292,PA  ,Swc,Swc,Swc;19,PASwc;19,19,Central and East-Central Pennsylvania,Wills Creek Formation,Silurian,"Wills Creek Formation - Variegated gray, grayish-red, yellowish-gray and greenish-gray, interbedded calcareous shale, siltstone, shaly limestone, and dolomite; passes into Bloomsburg Formation in the southeast; not present east of Harrisburg.",,,PA002,shale,siltstone,limestone; dolostone (dolomite),PA001 PA002,
293,PA  ,Swm,Swm,Swm;19,PASwm;19,19,Central and East-Central Pennsylvania,"Wills Creek Formation through Mifflintown Formation, undivided",Silurian,"Wills Creek Formation through Mifflintown Formation, undivided - Includes, in descending order, the Wills Creek Formation (Swc) and Bloomsburg and Mifflintown Formations, undivided (Sbm).",,,PA002,shale,siltstone,sandstone; limestone; mudstone; dolostone (dolomite),PA001 PA002,
294,PA  ,Tpb,Tpb,Tpb;0,PATpb;0,0,,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,"Pensauken and Bridgeton Formations, undifferentiated - Dark-reddish-brown, cross-stratified, feldspathic quartz sand and some thin beds of fine gravel and rare layers of clay or silt.",,,PA002,sand,gravel,clay or mud; silt,PA001 PA002,
295,PA  ,Trfl,TRfl,TRfl;0,PATRfl;0,0,,Limestone fanglomerate,Triassic,"Limestone fanglomerate - Yellowish-gray to medium-gray, angular limestone and dolomite pebbles, cobbles, and fragments set in a red, very fine grained quartz matrix; a few shale-clast interbeds.",,,PA002,conglomerate,dolostone (dolomite),limestone; shale,PA001 PA002,
296,PA  ,Trfq,TRfq,TRfq;0,PATRfq;0,0,,Quartz fanglomerate,Triassic,"Quartz fanglomerate - Well-rounded quartzite pebbles, cobbles, and rare boulders set in a reddish-brown, sandy matrix.",,,PA002,conglomerate,quartzite,sand,PA001 PA002,
297,PA  ,Trg,TRg,TRg;1,PATRg;1,1,"Dauphin, York, and Adams Counties",Gettysburg Formation,Triassic,"Gettysburg Formation - Reddish-brown to maroon, silty mudstone and shale containing thin red sandstone interbeds; several thin beds of impure limestone.",,,PA002,mudstone,silt,shale; sandstone; limestone,PA001 PA002,
298,PA  ,Trgc,TRgc,TRgc;1,PATRgc;1,1,"Dauphin, York, and Adams Counties",Gettysburg conglomerate,Triassic,"Gettysburg conglomerate - Gray quartz conglomerate, sandstone, and red siltstone and mudstone.",,,PA002,conglomerate,sandstone,siltstone; mudstone,PA001 PA002,
299,PA  ,Trgh,TRgh,TRgh;1,PATRgh;1,1,"Dauphin, York, and Adams Counties",Heidlersburg Member of Gettysburg Formation,Triassic,"Heidlersburg Member of Gettysburg Formation - Red, green, and gray shale and argillite, and minor thin beds of gray arkosic sandstone; some quartz conglomerate and limestone conglomerate.",,,PA002,shale,argillite,arkose; conglomerate; limestone ,PA001 PA002,
300,PA  ,Trh,TRh,TRh;2,PATRh;2,2,"Berks, Lancaster, and Lebanon Counties",Hammer Creek Formation,Triassic,"Hammer Creek Formation - Gray and pale red, fine- to coarse-grained quartzose sandstone, siltstone, and mudstone.",,,PA002,sandstone,siltstone,mudstone,PA001 PA002,
301,PA  ,Trhc,TRhc,TRhc;2,PATRhc;2,2,"Berks, Lancaster, and Lebanon Counties",Hammer Creek conglomerate,Triassic,Hammer Creek conglomerate - Cobble and pebble quartz conglomerate interbedded with red sandstone.,,,PA002,conglomerate,sandstone,,PA001 PA002,
302,PA  ,Trl,TRl,TRl;3,PATRl;3,3,Montgomery and Bucks Counties,Lockatong Formation,Triassic,"Lockatong Formation - Dark-gray to black, thick-bedded argillite containing a few zones of thin-bedded black shale; locally has thin layers of impure limestone and calcareous shale.",,,PA002,argillite,shale,limestone; black shale,PA001 PA002,
303,PA  ,Trn,TRn,TRn;4,PATRn;4,4,"Lancaster, York, and Adams Counties",New Oxford Formation,Triassic,"New Oxford Formation - Light-gray to buff, commonly arkosic sandstone interbedded with red shale, mudstone, and fine-grained sandstone",,,PA002,arkose,shale,mudstone; sandstone,PA001 PA002,
304,PA  ,Trnc,TRnc,TRnc;4,PATRnc;4,4,"Lancaster, York, and Adams Counties",New Oxford conglomerate,Triassic,"New Oxford conglomerate - Quartz or quartzite pebbles, cobbles, and rare boulders set in a red, sandy, ferruginous matrix; some silica cement; some feldspar clasts.",,,PA002,conglomerate,quartzite,sand,PA001 PA002,
305,PA  ,Trs,TRs,TRs;5,PATRs;5,5,"Montgomery, Bucks, Chester, and Berks Counties",Stockton Formation,Triassic,"Stockton Formation - Light-gray to buff, coarse-grained, arkosic sandstone; includes reddish-brown to grayish-purple sandstone, siltstone, and mudstone.",,,PA002,arkose,siltstone,sandstone; mudstone,PA001 PA002,
306,PA  ,Trsc,TRsc,TRsc;5,PATRsc;5,5,"Montgomery, Bucks, Chester, and Berks Counties",Stockton conglomerate,Triassic,"Stockton conglomerate - Quartz cobbles set in a poorly sorted, sandy matrix; includes conglomeratic sandstone. ",,,PA002,conglomerate,sand,sandstone,PA001 PA002,
307,PA  ,Trb,TRb,TRb;3,PATRb;3,3,Montgomery and Bucks Counties,Brunswick Formation,Triassic,"Brunswick Formation - Reddish-brown mudstone, siltstone, and shale, containing a few green and brown shale interbeds; red and dark-gray, interbedded argillites near base. Youngest beds in Brunswick may be Jurassic in age.",,,PA002,mudstone,siltstone,shale; argillite,PA001 PA002,
308,VA  ,gn,gn,gn;0,VAgn;0,0,,Gneiss,Proterozoic,Gneiss as exotic blocks within melange units,,Western Piedmont,VA003,gneiss,,,VA001 VA003,
309,VA  ,bgs,bgs,bgs;0,VAbgs;0,0,,Biotite Gneiss and Schist,Proterozoic,Biotite gneiss and schist.,,"Central Piedmont From expanded explanation (ref. VA002): Biotite gneiss and schist:. Dark-gray, medium grained, foliated and broadly-layered. Mineralogy: biotite + plagioclase + potassium feldspar + quartz + muscovite; accessory minerals include titanite, epidote, and opaque minerals. ",VA003,gneiss,schist,,VA001 VA002 VA003,
310,VA  ,[f,CAf,CAf;0,VACAf;0,0,,Frederick Limestone,Cambrian,Frederick Limestone - Limestone.,,"Blue Ridge Anticlinorium, Northern From expanded explanation (ref. VA002): Frederick Limestone. Medium-gray to medium-bluish-gray laminated, thinly-bedded limestone. ",VA003,limestone,,,VA001 VA002 VA003,
311,VA  ,[Zmy,CAZmy,CAZmy;0,VACAZmy;0,0,,Alligator Back Formation - Feldspathic metagraywacke,Proterozoic Z-Cambrian,"Alligator Back Formation - Meta-argillite is feldspathic metagraywacke; graphitic mica schist, and quartzite.",,"Lynchburg Group; Blue Ridge Anticlinorium, Southwest. From expanded explanation (ref. VA002): Feldspathic metagraywacke. Heterogeneous assemblage of rock-types includes medium- to light-gray, laminated quartzofeldspathic to calcareous gneiss with thin mica schist partings; white and gray, fine- to coarse-grained, generally laminated marble; gray to greenish-gray fine-grained graphitic mica schist and quartzite; light-gray, medium- to fine-grained mica schist; massive quartzite and micaceous blue quartz granule metasandstone; and, dark-greenish-black actinolite schist. Mineralogy: (1) quartz + potassium feldspar + pla ioclase + biotite + muscovite + calcite + epidote + titanite + magnetite- ilmenite; (2) quartz + muscovite + chlorite + graphite + titanite + ilmenite; (3) quartz + albite + muscovite + biotite + titanite + ilmenite; (4) quartz + mus co vite + garnet + kyanite; (5) chlorite + tremolite + magnetite-ilmenite; (6) chlorite + actinolite-tremolite + talc + dolomite + magnetite-ilmenite; (7) quartz + albite + actinolite + biotite + epidote + magnetite. Units here mapped as Alligator Back Formation were previously mapped as the Evington Group (Espenshade, 1954; Brown, 1958; Redden, 1963; Gates, 1986; Patterson, 1987) and considered to be younger than the Lynchburg Group. Regional mapping by Henika (1991) and Scheible (1975) indicates that rocks assigned to Alligator Back Formation by Rankin and others (1973) are continuous with the upper part of the Lynchburg Group in the type section along the James River at Lynchburg (Jonas, 1927) and that the Alligator Back consistently dips southeast beneath the overlying Candler Formation from the Virginia-North Carolina border to the James River at Lynchburg. Sedimentary and structural facing criteria indicate that rock units immediately southeast of the Candler Formation in an outcrop belt from Stapleton on the James River, southwest to Leesville Dam on the Roanoke River, are older than the Candler (Henika, 1992). Although previously mapped as upper Evington Group (Espenshade, 1954; Brown, 1958; Redden, 1963; Patterson, 1987), these rocks are herein correlated with the Alligator Back Formation (upper Lynchburg Group), having been uplifted against the Candler Formation to the northwest along the Bowens Creek fault (Henika, 1992). Rocks in the same outcrop belt along strike to the southwest of the Leesville Reservoir were previously correlated with the Alligator Back Formation by Conley (1985). The sequence of lithologic units within the Alligator Back Formation southeast of the Bowens Creek fault is the same as that proposed by Brown (1951; 1958), and Espenshade (1954) for the formations in the Evington Group, that are structurally above the Candler Formation. The sequence is based on the detailed structural and stratigraphic relationships first established by Brown (1958) in the Lynchburg 15-minute quadrangle. ",VA003,meta-argillite,schist,quartzite; melange; marble; gneiss,VA001 VA002 VA003,
312,VA  ,mf,mf,mf;0,VAmf;0,0,,Mafic Plutonic Rocks,Proterozoic Z-Cambrian,Mafic plutonic rocks as exotic blocks within melange units,,Western Piedmont,VA003,mafic rock,,,VA001 VA003,
313,VA  ,Mmpr,Mmpr,Mmpr;0,VAMmpr;0,0,,Maccrady Shale and Price Formation,Mississippian,"Maccrady Shale and Price Formation - Includes: Maccrady Shale: Dusky-red and green shale and mudstone; and evaporite deposits. Price Formation: Sandstone, conglomeratic sandstone, and shale with carbonaceous partings and impure coal beds.",,Includes Devonian shale in Giles County; Appalachian Plateaus and Valley and Ridge: From expanded explanation (ref. VA002): Maccrady Shale and Price Formation. Refer to individual units for descriptions. ,VA003,sandstone,shale,mudstone; coal; evaporite,VA001 VA002 VA003,
314,VA  ,Ob,Ob,Ob;0,VAOb;0,0,,Beekmantown Group,Ordovician,"Beekmantown Group - Dolomite, limestone, and chert. Includes Pinesburg Station Dolomite, Rockdale Run Formation, Beekmantown Formation, Stonehenge Limestone, and Chepultepec Formation.",,"Appalachian Plateaus and Valley and Ridge. From expanded explanation (ref. VA002): Beekmantown Group. Includes the Pinesburg Station Dolomite, the Rockdale Run Formation, and the Stonehenge Limestone (northern Virginia only) or the Beekmantown Formation and Stonehenge Limestone (central and southwestern Virginia). Pinesburg Station Dolomite (Sando, 1956). Dolostone, dark- to light-gray, fine- to medium-grained, medium- to thick bedded with minor nodular white chert. It ranges from 0 to 400 feet in thickness and is equivalent to beds in the upper Beekmantown Formation. Present only in Clarke and Frederick counties and is conformable with the underlying Rockdale Run Formation and unconformable with the overlying New Market or Lincolnshire Limestones. Rockdale Run Formation (Sando, 1958). Dominantly limestone and dolomitic limestone, lesser dolostone with minor chert throughout. Limestone, light- to medium-gray, fine-grained generally, but coarse, bioclastic limestone locally, medium- to thick-bedded. Dolostone, light-gray, fine- to medium- grained, thick-bedded with ""butcher block"" weathering and minor nodular or bedded chert in both limestone and dolostone. Unconformably overlain by the New Market Limestone where the Pinesburg Station Dolomite is absent. It is laterally equivalent to the Beekmantown Formation and conformably overlies the Stonehenge Limestone. The formation is about 2700 feet thick.	 Beekmantown Formation (Clarke and Schuchert, 1899). Dominantly dolostone and chert-bearing dolostone with lesser limestone. Dolostone, light- to very-dark-gray, fine- to coarse grained, mottled light- and dark-gray, with crystalline beds locally contains nodular, dark-brown or black chert and thick, hill forming, lenticular chert beds in lower part. Limestone, very-light- to medium-gray, fine-grained, medium- to thick bedded, locally dolomitic and locally fossiliferous. The formation is present from Page and Shenandoah counties southwestward in the easternmost exposures of the Lower Ordovician rocks. It and the underlying Stonehenge Limestone, are equivalent to the Mas cot and Kingsport Dolomites of the upper part of the Knox Group. It is unconformably overlain by Middle Ordovician limestones and conformably overlies the Stonehenge Limestone. Erosion, related to the unconformity at the top of the Beekmantown Group and Knox Group, has produced erosional breccias, local topographic relief, and paleokarst topography as well as significant regional thinning of the rock units. The Beekmantown Group thins from about 3000 feet in Page County to less than 700 feet in Washington County, largely because of post-Beekmantown erosion . Stonehenge Limestone (Sando, 1956). Limestone with interbedded dolostone in north western Virginia. Limestone, dark-gray, fine-grained, laminated to massive, with black nodular chert. Dolostone, light-gray, fine-to very-coarse-grained, as thin- to medium-interbeds or as coarse- grained, massive, reefoidal bodies. Reefoidal bodies are restricted to the middle portion of the formation. The formation conformably overlies the Conococheague Formation and thins northwestward from 400 or 500 feet in the southeasternmost exposures (Page County) to a few tens of feet in the north western exposures (western Rockingham County) and is not recognizable or included in the lower Beekmantown or upper Conococheague in much of southwestern or western Virginia. It is equivalent to the lower part of the Kingsport Dolomite. ",VA003,dolostone (dolomite),limestone,chert,VA001 VA002 VA003,
315,VA  ,Obi,Obi,Obi;0,VAObi;0,0,,Bear Island Granodiorite,Ordovician,Bear Island Granodiorite - granodiorite,,"Western Piedmont, Northern. From expanded explanation (ref. VA002): Bear Island Granodiorite (Cloos and Cooke, 1953; Drake and Lee, 1989). Leucocratic, fine-grained, muscovite biotite granodiorite and related quartz-albite-microcline pegmatite. Unit comprises small- to moderate-sized sheets and crosscutting bodies. Muscovite from pegmatite dated at 469 +/- 20 Ma, interpreted as time of cooling below 5000 C (Rb-Sr; Muth and others, 1979). ",VA003,granodiorite,pegmatite,,VA001 VA002 VA003,
316,VA  ,O[ps,OCAps,OCAps;0,VAOCAps;0,0,,Popes Head Formation - Station Hills Phyllite Member. Phyllite.,Cambrian-Ordovician,Popes Head Formation - Station Hills Phyllite Member. Phyllite.,,"Station Hills Phyllite Member; Western Piedmont, Northern. From expanded explanation (ref. VA002): Station Hills Phyllite. Light-greenish-gray, dusky yellow-weathering phyllite and lesser amounts of very-fine grained metasiltstone. Beds are 2 to 12 cm thick; many have thin basal intervals of graded siltstone. Mineralogy: muscovite + quartz + biotite + chlorite + plagioclase + magnetite + epidote. The top of the unit is nowhere exposed; maximum known thickness is 300 m. Some chlorite-rich phyllite is probably mafic metatuff; unit grades down into Old Mill Branch Metasiltstone. ",VA003,phyllite,,,VA001 VA003,
317,VA  ,peg,peg,peg;0,VApeg;0,0,,Granite Pegmatite,Proterozoic,Granite pegmatite,,"Central Piedmont From expanded explanation (ref. VA002): Granite pegmatite. Typically leucocratic and coarse grained; consists of lenticular bodies that are gen rally concordant with the regional foliation. Mineralogy includes microcline, albite, quartz, muscovite, biotite, garnet, and tourmaline. ",VA003,pegmatite,,,VA001 VA002 VA003,
318,VA  ,pg,pg,pg;0,VApg;0,0,,Plagiogranite,Proterozoic,Plagiogranite,,"Central Virginia Volcanic-Plutonic Belt. From expanded explanation (ref. VA002): Plagiogranite. White to light-gray, medium- to coarse grained, vaguely- to strongly-foliated plagioclase-rich granite and granite gneiss. Mineralogy: quartz + plagioclase + biotite + muscovite +/- potassium feldspar. Small plutons occur within layered metavolcanic rocks of probable Cambrian age. ",VA003,granitoid,,,VA001 VA002 VA003,
319,VA  ,Zgs,Zgs,Zgs;0,VAZgs;0,0,,Mount Rogers Formation - Greenstone with interbedded sedimentary rocks,Proterozoic Z,Mount Rogers Formation - Greenstone with sedimentary interbeds.,,"In Grayson, Washington, and Smyth Counties only; Blue Ridge Anticlinorium, Southwest. From expanded explanation (ref. VA002): Greenstone and interbedded metasedimentary rocks. Relict plagioclase phenocrysts are prominent in some greenstone. ",VA003,greenstone,metasedimentary rock,,VA001 VA002 VA003,
320,VA  ,Qno,Qno,Qno;0,VAQno;0,0,,Nassawadox Formation: Occohannock Member,Quaternary,"Nassawadox Formation: Occohannock Member - Muddy fine- to medium-grained sand, at altitudes to 30 ft. (top of unit).",,"Occohannock Member; Coastal Plain, East of Chesapeake Bay From expanded explanation (ref. VA002): Occohannock Member (Mixon, 1985). Light-yellowish-gray, fine to medium sand underlying southwest-sloping terrace (altitude 30-18 feet) on west side of upland. Sand is dominantly massive to horizontally bedded, but shows some small-scale cross-bedding; locally contains clay and silt as matrix and thin beds. Unit was deposited in a low-energy, open-bay environment. Thickness ranges from a featheredge near bay-facing scarp along western margin of upland to 20 feet in downdip areas near present bay. ",VA003,sand,,,VA001 VA002 VA003,
321,VA  ,Qtlp,Qtlp,Qtlp;0,VAQtlp;0,0,,Tabb Formation: Lynnhaven and Poquoson Members,Quaternary,"Tabb Formation: Lynnhaven and Poquoson Members - Undifferentiated Qtl, Qts.",,Undifferentiated; Coastal Plain,VA003,sand,silt,,VA001 VA003,
